metrics.rmse,metrics.r2,metrics.rmspe,params.max_depth,params.n_estimators,params.num_leaves,params.learning_rate
0.0643166569720084,0.8976179132325014,0.0310308004385773,10,100,20,0.1
0.064317622419649,0.8976148395252957,0.0309008376548017,7,600,40,0.01
0.0643340097465707,0.8975626599584159,0.030892497052129,7,800,30,0.01
0.0643351200607391,0.8975591240802094,0.0311914682587005,7,800,20,0.01
0.0643417569082816,0.8975379872720839,0.0312575237662249,7,700,20,0.01
0.0643429329389226,0.8975342416619692,0.0311031497481551,7,1000,20,0.01
0.0643492448437835,0.8975141373300342,0.0307552753341956,7,700,40,0.01
0.0643516818124839,0.8975063747037783,0.0309311785242435,7,700,30,0.01
0.0643545801656395,0.8974971420185186,0.0308516094417865,7,900,30,0.01
0.0643570835952131,0.8974891670250837,0.0312487993300627,10,700,20,0.01
0.0643585981464444,0.8974843420788149,0.0311778528347499,10,800,20,0.01
0.064359424804014,0.8974817085258373,0.0311550724535906,7,900,20,0.01
0.0643618900337869,0.8974738546338709,0.0311975411971857,9,800,20,0.01
0.0643627169423567,0.8974712201465118,0.0311540970592129,9,900,20,0.01
0.064363029262044,0.8974702251035527,0.0310859229639346,9,100,20,0.1
0.0643641854967336,0.8974665413258118,0.0310772669692833,8,600,30,0.01
0.0643645163306905,0.8974654872726372,0.030847949134379,6,600,50,0.01
0.0643654114470752,0.8974626353608769,0.0307413534102107,6,700,50,0.01
0.0643667904645843,0.8974582416241558,0.0310482494671832,7,600,30,0.01
0.0643678845560016,0.8974547556336184,0.0313992308763268,10,600,20,0.01
