metrics.rmse,metrics.r2,metrics.rmspe,params.learning_rate_init,params.activation,params.hidden_layer_sizes,params.alpha,params.solver
0.0708523645927731,0.8757530463643523,0.0384301123204496,0.01,relu,"(30, 60)",0.0001,adam
0.0715838692036219,0.873174264534672,0.0362018046847583,0.01,relu,"(70, 80, 100)",0.0001,adam
0.0716049409904496,0.8730995874257407,0.0371878760291222,0.01,relu,"(70, 80, 90)",0.0001,adam
0.071661011195596,0.8729007710341345,0.0367283747674351,0.01,relu,"(50, 60, 90)",0.0001,adam
0.0717287431909923,0.8726603961750008,0.0358989163343822,0.01,relu,"(60, 80)",0.0001,adam
0.0717909669306396,0.8724393694906177,0.0354030076684619,0.01,relu,"(50, 70, 80)",0.0001,adam
0.071805074657611,0.8723892303869314,0.0368472238591668,0.01,relu,"(60, 90, 100)",0.0001,adam
0.0718519812395236,0.8722224527559657,0.0379055416658546,0.01,relu,"(30, 60, 80)",0.0001,adam
0.0718713727785288,0.8721534737909998,0.0364723692893657,0.01,relu,"(20, 100)",0.0001,adam
0.0719078869860472,0.8720235360911957,0.0367735692110813,0.01,relu,"(30, 50, 60)",0.0001,adam
0.0719448600173854,0.8718918983958758,0.0361752251352046,0.01,relu,"(50, 60, 70)",0.0001,adam
0.0719636230858112,0.8718250690347288,0.0364668214800319,0.01,relu,"(50, 80, 90)",0.0001,adam
0.0719636486642709,0.8718249779187524,0.0369041463925844,0.01,relu,"(20, 50, 100)",0.0001,adam
0.0719662791019059,0.8718156075610751,0.0365822237055118,0.01,relu,"(80, 100)",0.0001,adam
0.0719866564216803,0.8717430062208297,0.0366393301577732,0.01,relu,"(20, 30)",0.0001,adam
0.0719899943508548,0.8717311117195936,0.0366464918342369,0.01,relu,"(60, 80, 100)",0.0001,adam
0.0720033833268376,0.8716833954005878,0.0366132513271619,0.01,relu,"(50, 60, 80)",0.0001,adam
0.0720125865842984,0.8716505912137402,0.0380476281491719,0.01,relu,"(30, 50, 90)",0.001,adam
0.0720155142559798,0.8716401549112657,0.0380243753554697,0.01,relu,"(40, 80, 90)",0.0001,adam
0.0720170532805756,0.87163466856373,0.0374229740372423,0.01,relu,"(80,)",0.0001,adam
